
> concat(copy(300K, file(./res/data_body)), file(./res/data_end)); 737.402MB; first window at 99.99977800428995%
name,threads,best,median,mean,stddev
"benny",1,1.3779,1.3775,1.3775,0.0002
"david_a_perez",1,8.6234,8.6177,8.6183,0.0021

> concat(rng(x, 3456), srand(600M, x), lit(qwertyuiopasdfgh)); 600.000MB; first window at 99.9999973333334%
name,threads,best,median,mean,stddev
"benny",1,1.3777,1.3773,1.3773,0.0003
"david_a_perez",1,1.4439,1.4358,1.4388,0.0039

> copy(400M, lit(c)); 400.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,1.3790,1.3784,1.3785,0.0003
"benny",2,2.7344,2.7287,2.7273,0.0071
"benny",4,5.4732,5.4172,5.4054,0.0349
"benny",6,8.0790,8.0088,7.9971,0.0452
"benny",8,10.7441,10.7382,10.6848,0.0696
"benny",16,20.3353,20.2140,20.1537,0.3288
"benny_popcnt",1,1.3816,1.3807,1.3807,0.0005
"benny_popcnt",2,2.7335,2.7299,2.7301,0.0017
"benny_popcnt",4,5.4748,5.4213,5.4043,0.0367
"benny_popcnt",6,8.0832,7.9845,7.9784,0.0491
"benny_popcnt",8,10.7453,10.7313,10.7298,0.0122
"benny_popcnt",16,20.2919,20.2023,20.2061,0.0409
"benny_alt",1,1.3713,1.3705,1.3706,0.0002
"benny_alt",2,2.7366,2.7260,2.7164,0.0167
"benny_alt",4,5.4442,5.3878,5.3841,0.0423
"benny_alt",6,7.9868,7.9358,7.9221,0.0432
"benny_alt",8,10.3683,10.3464,10.3449,0.0152
"benny_alt",16,11.1846,11.1045,11.1025,0.0591
"benny_x2",1,2.7635,2.7613,2.7611,0.0014
"benny_x2",2,5.4716,5.4340,5.4347,0.0168
"benny_x2",4,10.7940,10.6572,10.6682,0.0763
"benny_x2",6,15.9280,15.7311,15.7490,0.0740
"benny_x2",8,20.6139,20.5383,20.5341,0.0335
"benny_x2",16,20.5549,20.4407,20.4405,0.0490

> copy(3M, lit(abcdefghijklm)); 39.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,1.3828,1.3812,1.3809,0.0016
"benny_popcnt",1,1.3830,1.3811,1.3810,0.0013
"david_a_perez",1,0.3013,0.3003,0.3003,0.0003
"conflict",1,0.1766,0.1766,0.1766,0.0000
"conflict_mc1b",1,0.1766,0.1766,0.1766,0.0000
"conflict_mc2b",1,0.3497,0.3497,0.3497,0.0001
"conflict_mc3b",1,0.5085,0.5064,0.5065,0.0009
"conflict_mc4b",1,0.6557,0.6542,0.6541,0.0018
"conflict_mc5b",1,0.8201,0.8177,0.8096,0.0123
"conflict_mc6b",1,0.9388,0.9349,0.9351,0.0011
"conflict_mc7b",1,1.0277,1.0263,1.0259,0.0013
"conflict_mc8b",1,1.1082,1.1062,1.1060,0.0013
"conflict_mc9b",1,1.1738,1.1721,1.1720,0.0014
"conflict_mc10b",1,1.2119,1.2042,1.2047,0.0046
"conflict_mc11b",1,1.1471,1.1465,1.1465,0.0003
"conflict_mc12b",1,1.1676,1.1621,1.1596,0.0127

> copy(3M, lit(abcdefghijk)); 33.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,1.3774,1.3752,1.3747,0.0017
"benny_popcnt",1,1.3779,1.3765,1.3763,0.0013
