
> concat(copy(300K, file(./res/data_body)), file(./res/data_end)); 737.402MB; first window at 99.99977800428995%
name,threads,best,median,mean,stddev
"benny",1,0.6825,0.6820,0.6821,0.0002
"david_a_perez",1,7.4091,7.4075,7.4073,0.0013

> concat(rng(x, 3456), srand(600M, x), lit(qwertyuiopasdfgh)); 600.000MB; first window at 99.9999973333334%
name,threads,best,median,mean,stddev
"benny",1,0.6827,0.6822,0.6822,0.0002
"david_a_perez",1,1.4255,1.4250,1.4250,0.0003

> copy(400M, lit(c)); 400.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,0.6826,0.6822,0.6822,0.0002
"benny",2,1.3522,1.3483,1.3484,0.0020
"benny",4,2.6999,2.6905,2.6842,0.0142
"benny",6,4.0116,3.9633,3.9737,0.0224
"benny",8,5.3011,5.2361,5.2496,0.0247
"benny",16,6.5979,6.5857,6.5847,0.0065
"benny_popcnt",1,1.3815,1.3809,1.3809,0.0005
"benny_popcnt",2,2.7404,2.7298,2.7299,0.0027
"benny_popcnt",4,5.4746,5.4252,5.4074,0.0342
"benny_popcnt",6,8.1268,7.9843,8.0033,0.0516
"benny_popcnt",8,10.7539,10.7383,10.7378,0.0057
"benny_popcnt",16,20.3406,20.2206,20.2250,0.0427
"benny_alt",1,1.3397,1.3359,1.3363,0.0015
"benny_alt",2,2.6471,2.6340,2.6258,0.0181
"benny_alt",4,5.2237,5.1882,5.1722,0.0342
"benny_alt",6,7.7563,7.6664,7.6552,0.0626
"benny_alt",8,10.0786,9.9872,9.6705,0.8605
"benny_alt",16,10.3560,10.3176,10.2972,0.0793
"benny_x2",1,2.7602,2.7554,2.7554,0.0025
"benny_x2",2,5.4663,5.4262,5.4265,0.0124
"benny_x2",4,10.7384,10.6186,10.6180,0.0678
"benny_x2",6,15.9623,15.7471,15.7433,0.0829
"benny_x2",8,20.6409,20.5370,19.2060,2.6705
"benny_x2",16,20.6058,20.5197,20.3990,0.6168

> copy(3M, lit(abcdefghijklm)); 39.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,0.6825,0.6809,0.6810,0.0009
"benny_popcnt",1,1.3829,1.3814,1.3802,0.0027
"david_a_perez",1,0.2696,0.2692,0.2691,0.0003
"conflict",1,0.1766,0.1766,0.1766,0.0001
"conflict_mc1b",1,0.1766,0.1766,0.1766,0.0000
"conflict_mc2b",1,0.3498,0.3497,0.3497,0.0000
"conflict_mc3b",1,0.5088,0.5069,0.5070,0.0009
"conflict_mc4b",1,0.6488,0.6480,0.6480,0.0003
"conflict_mc5b",1,0.8200,0.7919,0.8031,0.0132
"conflict_mc6b",1,0.9401,0.9382,0.9379,0.0013
"conflict_mc7b",1,1.0300,1.0287,1.0286,0.0011
"conflict_mc8b",1,1.1099,1.1089,1.1086,0.0011
"conflict_mc9b",1,1.1813,1.1797,1.1795,0.0014
"conflict_mc10b",1,1.1924,1.1917,1.1915,0.0010
"conflict_mc11b",1,1.2186,1.2176,1.2176,0.0005
"conflict_mc12b",1,1.1191,1.1179,1.1177,0.0010

> copy(3M, lit(abcdefghijk)); 33.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,0.6833,0.6815,0.6814,0.0009
"benny_popcnt",1,1.3830,1.3808,1.3809,0.0013
"david_a_perez",1,0.9868,0.9858,0.9854,0.0014
"conflict",1,0.5296,0.5296,0.5296,0.0000
"conflict_mc1b",1,0.5296,0.5296,0.5296,0.0000
"conflict_mc2b",1,1.0554,1.0545,1.0544,0.0011
"conflict_mc3b",1,1.5242,1.5134,1.5134,0.0042
"conflict_mc4b",1,1.9857,1.9772,1.9774,0.0039
"conflict_mc5b",1,2.4562,2.4507,2.4509,0.0029
"conflict_mc6b",1,2.8177,2.8110,2.8106,0.0050
"conflict_mc7b",1,3.0923,3.0861,3.0859,0.0056
"conflict_mc8b",1,3.3330,3.3249,3.3238,0.0068
"conflict_mc9b",1,3.5485,3.5408,3.5418,0.0064
"conflict_mc10b",1,3.5717,3.5662,3.5655,0.0053
"conflict_mc11b",1,3.6591,3.6531,3.6525,0.0044
"conflict_mc12b",1,3.3562,3.3504,3.3503,0.0037

> copy(3M, lit(abcdefghi)); 27.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,0.6832,0.6817,0.6814,0.0013
"benny_popcnt",1,1.3828,1.3821,1.3813,0.0015
"david_a_perez",1,1.9625,1.9595,1.9585,0.0026
"conflict",1,0.8826,0.8825,0.8825,0.0001
"conflict_mc1b",1,0.8826,0.8825,0.8825,0.0001
"conflict_mc2b",1,1.7555,1.7539,1.7539,0.0009
"conflict_mc3b",1,2.5385,2.5208,2.5213,0.0069
"conflict_mc4b",1,3.2436,3.2328,3.2334,0.0052
