
> concat(copy(300K, file(./res/data_body)), file(./res/data_end)); 737.402MB; first window at 99.99977800428995%
name,threads,best,median,mean,stddev
"benny",1,1.3799,1.3793,1.3793,0.0004
"david_a_perez",1,7.4340,7.4309,7.4302,0.0041

> concat(rng(x, 3456), srand(600M, x), lit(qwertyuiopasdfgh)); 600.000MB; first window at 99.9999973333334%
name,threads,best,median,mean,stddev
"benny",1,1.3803,1.3794,1.3794,0.0004
"david_a_perez",1,1.0780,1.0699,1.0703,0.0016

> copy(400M, lit(c)); 400.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,1.3814,1.3808,1.3807,0.0006
"benny",2,2.7366,2.7258,2.7134,0.0173
"benny",4,5.4426,5.3924,5.3986,0.0295
"benny",6,8.0596,7.9988,8.0018,0.0390
"benny",8,10.7481,10.6107,10.6636,0.0720
"benny",16,20.3352,20.2318,20.1634,0.2310
"benny_popcnt",1,1.3818,1.3807,1.3807,0.0005
"benny_popcnt",2,2.7340,2.7294,2.7289,0.0026
"benny_popcnt",4,5.4463,5.4168,5.4008,0.0308
"benny_popcnt",6,8.0689,8.0114,8.0025,0.0378
"benny_popcnt",8,10.7523,10.5972,10.6455,0.0738
"benny_popcnt",16,20.3497,20.2498,20.2476,0.0424
"benny_alt",1,1.3402,1.3387,1.3387,0.0006
"benny_alt",2,2.6565,2.6492,2.6476,0.0070
"benny_alt",4,5.2605,5.2171,5.2067,0.0377
"benny_alt",6,7.7663,7.7178,7.6937,0.0515
"benny_alt",8,10.1403,10.0683,10.0820,0.0422
"benny_alt",16,10.4103,10.3870,10.3888,0.0105
"benny_x2",1,1.9143,1.9118,1.9117,0.0014
"benny_x2",2,3.7870,3.7386,3.7488,0.0269
"benny_x2",4,7.5652,7.4376,7.4417,0.0423
"benny_x2",6,11.1056,10.9877,10.9937,0.0643
"benny_x2",8,14.3084,14.2471,14.2486,0.0260
"benny_x2",16,15.0213,14.9200,14.9271,0.0328

> copy(3M, lit(abcdefghijklm)); 39.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,1.3829,1.3812,1.3808,0.0015
